Subject,Question,A,B,D,C,E,I,F
Biology,"Identify the given figures \( A, B, C, D \) and","A: Marginal, B: Axile, C: Free central, D: Parietal, E:
Basal","A: Marginal, B: Parietal, C: Free central, D: Axile, E: Basal
C . A: Marginal, B: Axile, C: Parietal, D: Free central, E:
Basal","A: Marginal, B: Axile, C: Parietal, D: Basal, E: Free central",,\( E \),,
Biology,"Assertion
Coenzymes can be vitamins or
minerals.
Reason
NAD is an example of a coenzyme.","Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion.","Both Assertion and Reason are correct but Reason is
not the correct explanation for Assertion.",Assertion is incorrect but Reason is correct.,Assertion is correct but Reason is incorrect.,,,
Biology,"Which of the following chemical cause
the thinning of layer P?",Carbon monoxide,sulphur dioxide,Both A and C,chlorofluorocarbons,,,
Biology,"The enzyme which has polymerising
activity in \( 5^{\prime} \rightarrow 3^{\prime} \) direction but
exonuclease activity in \( 3^{\prime} \rightarrow 5^{\prime} \)
direction only is :",RNA polymerase III,DNA polymerase II,All of these,DNA polymerase,,,
Biology,"Choose the odd one out in each of the
following groups of four items each:
Trachea, Bronchus, Alveolus, Diaphragm",,,,,,,
Biology,"Drinking aerated drink with low levels
(0.02 ppm) of pesticide for long period would cause",cancer of intestine,Accumulation in the body,Immunity against mosquito,Leukaemia,,,
Biology,"Which of the following system of classification is based on gross
morphology of plants?",Natural system,Artificial system,All system,Practical system,,,
Biology,"In the lac operon, the structural genes
are switched off when repressor binds
to the",Operator,Promoter,Inducer,Regulator,Allolactose,,
Biology,Water transport from roots to leaves is explained by,The pressure flow theory,Differences in source and sink solute concentrations,The cohesion-tension theory,The pumping force of xylem vessels,,,
Biology,Define Pteridophyta,,,,,,,
Biology,"The plasma membrane of animal cells
is elastic due to the presence of",Lipids,Carbohydrates,water,Proteins,,,
Biology,Stomata having pores bounded by a single ring shaped guard cell are found in the,Leaf of ferns,Pinnule of Cycas.,All of the above,capsule of Funaria,,,
Biology,Multiple Choice Questions Depletion of which gas in the atmosphere can lead to an increased incidence of skin cancers.,Methane,Nitrous oxide,Ammonia,Ozone,,,
Biology,Catalytic converter used for controlling pollution is used in,Thermal plants,Chimneys,Motor vehicles,Brick kilns,,,
Biology,Distinguish between Mitosis \& Meiosis,,,,,,,
Biology,Enzyme renin is secreted by,Cells of stomach,Cells of intestine,The cells of juxtaglomerular apparatus of kidney,The cortical cells of kidney,,,
Biology,"Absorption of mineral elements from
the soil occurs through",Diffusion,Active transportt,All of the above,osmosis,,,
Biology,"In humans, blood vascular system has",Double circulation,Venous heart,Arteriovenous heart,Arterial heart,,,
Biology,"What would have been happened if any
of the cells in nature had not been
divided by meiosis?",,,,,,,
Biology,"How many nodes are found in heart of
human?",one,Two,None of the above,many,,,
Biology,"In Spirogyra, asexual reproduction takes
place by",Breaking up of filaments into smaller bits.,Division of a cell into two cells.,Formation of young cells from older cells.,Division of a cell into many cells.,,,
Biology,Which one from the following is associated with occupational hazard?,Auorosis,Pneumoconiosis,Both B and C,silicosis,,,
Biology,Carnassial teeth are modified for,Crushing,Tearing,cutting,Grinding,,,
Biology,Which one of the following shows bilateral symmetry?,Virus,Bacteria,Planaria,Amoeba,sponge,,
Biology,Reflex action is,Stimulus - -> sensory neuron - -> spinal cord - -> motor neuron - -> response,"Stimulus - -> motor neuron - -> sensory neuron - ->
response",Sensory neuron - -> stimulus - -> motor neuron - -> response,"Reception - -> motor neuron - -> sensory neuron - ->
response",,,
Biology,The thylakoids occur inside,Mitochondria,"Chloroplast
C . Golgi apparatus",Endoplasmic reticulum,,,,
Biology,"In pachytene stage of meiosis, the chromosomes appear",single stranded,Double stranded,Four stranded,Three stranded,,,
Biology,Dictyostelium is,Cellular slime mould,Plasmodial slime mould,None of the above,Water mould,,,
Biology,Which one of the following has plantings life cycle?,Funaria,Polytrichum,Triticum,ustilago,,,
Biology,"The colour of Iymph is
\( \mathbf{A} \cdot \operatorname{Red} \)",,Pale yellow,Milky,colourless,,,
Biology,Explain reflex arc with diagram.,,,,,,,
Biology,"Which one of the following is the correct description of a certain part of a normal
human skeleton?",Parietal bone and the temporal bone and the skull are joined by fibrous joint,"First vertebrae is axis, which articulates with the occipital condyles.",Glenoid cavity is a depression to which the thigh bone articulates,The sth and 10 th pairs of ribs are called the floating ribs,,,
Biology,Which of the following state of an ecosystem helps it to avoid changes?,Homeostasis,Shortage of components,Imbalance,Deficiency of light,,,
Biology,Green house effect is due to,Accumulation of \( O_{3} \) and depletion of \( O_{2} \),Accumulation of \( O_{3} \) and \( C O_{2} \),Accumulation of green plants,Depletion of \( C O_{2} \) and \( O_{3} \),,,
Biology,"Very short answer type.
What happens to plasma proteins during hemodialysis?",,,,,,,
Biology,In which stage do chromosomes appear as thin long threads?,Zygotene,Pachytene,Prophose,Leptotene,,,
Biology,What is tricarboxylic acid cycle? Describe its different steps.,,,,,,,
Biology,"When cell has stalled DNA replication
fork, which checkpoint should be
predominantly activated?","B. Both Ga M and M
\( c \cdot G_{1} / s \)
\( D \cdot G_{2} / M \)",,,,,,
Biology,"Assertion
Antheridia of Funaria are sunk in pit.
Reason
Its antheridial cluster is surrounded by
perigoniai leaves","If both the assertion and the reason are true and the
reason is a correct explanation of the assertion","If both the assertion and reason are true but the
reason is not a correct explanation of the assertion",If both the assertion and reason are false,If the assertion is true but the reason is false,,,
Biology,Dentine is,"Hard, protective covering on the tooth.",The cavity which contains nerves and blood vessels in a tooth.,The nerve that connects tooth and the brain.,Covering beneath the enamel.,,,
Biology,Which of the following is a commercial blood cholesterol lowering agent?,cyclosporin A,Statin,Lipases,streptokinase,,,
Biology,"In bryophytes, which part of archegonium encloses egg?",Neck,Cover cell,Neck canal cell,venter,,,
Biology,Which symptoms are commonly seen in case of diarrhea?,Blood in stool,Death,Nausea,Blood clot,,,
Biology,The balloon like outgrowths of parenchyma in the lumen of a vessel are known as,Histogen,Tyloses,Tunica,Phellogen,,,
Biology,"Read the following statements \( (A-E) \)
and answer the question which follows them.
(A) In liverworts, mosses, and ferns
gametophytes are free-living.
(B) Gymnosperms and some ferns are heterosporous.
(C) Sexual reproduction in Fucus, Volvox and Albugo is oogamous.
(D) The sporophyte in liverworts is more
elaborate than that is mosses.
(E) Both, Pinus and Marchantia are
dioecious.
How many of the above statements are
correct?",One,Two,Four,Three,,,
Biology,Deoxygenated blood,Flows to lungs from the left side of the heart.,Flows to lungs from the right side of the heart.,Flows to left side of the heart from the.lungs.,Flows to right side of the heart from the lungs.,,,
Biology,"Figure \( P \) represents the reproductive
organs of Chara plant and figure \( Q \)
represents the reproductive organs of
earthworm. Select the option which
correctly identifies male reproductive organs of the two organisms.
\( \mathbf{A} \cdot A \) and \( D \)
\( B . B \) and \( C \)
\( \mathbf{c} . A \) and \( C \)
\( D . B \) and \( D \)",,,,,,,
Biology,"Burial of dead with due rites is
considered to be important step in human evolution. Which human was
first to perform these ceremonies?",,,,,,,
Biology,"If ovaries from a pregnant woman are removed in \( 4^{t h} \) month of pregnency,
then",Development of embryo becomes abnormal,Abortion occurs after some time,None of the above,Embryo develops normally till birth,,,
Biology,A sessile plant is a plant,Which has modified leaves,Which has petioles,Which cannot synthesise its own food,Which does not possess petioles,,,
Biology,Carotid artery supplies,Oxygenated blood to lungs,Oxygenated blood to intestine,None of these,Oxygenated blood to brain,,,
Biology,"Assertion
The concentration of pollutants in water or atmosphere is often expressed in terms of ppm.
Reason
Concentration in parts per million can be expressed as mass to mass, volume
to volume and mass to volume",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,"Steroid hormones, estrogen and testosterone bind to",Membrane ion channels,Enzyme-linked membrane receptors,Cytoplasmic receptors,G-Protein linked membrane receptors,,,
Biology,Volkmann's canals are found in,Bones of birds,Bones of amphilbians,Cartilage of mammals,Bones of mammals,,,
Biology,"Draw and label the mechanism of reflex
arc.",,,,,,,
Biology,"Haemoglobin present in human blood binds to oxygen in which oxidation
state?
A \( \cdot F e^{2} \)",,"\( F e^{3} \)
\( \mathrm{c} \cdot F e^{4} \)",\( F e^{+} \),,,,
Biology,"Which thickening agent widely used in food, textile and pharmaceutical industry is extracted from kelps?",Cellulose,Mucilage,Alginic acid,Fucic acid,,,
Biology,Glycolate accumulates in chloroplast at,"Low temparature
в. \( \operatorname{Low} C O_{2} \)",,High \( C O_{2} \),Visible light illumination,,,
Biology,"The term 'Phyletic evolution' was proposed by
A . Lamarck",,Mayer,None of the above,Darwin,,,
Biology,"\( N A D^{+} \) is reduced in photorespiration
inside",Mitochondria,Mitochondria and peroxisome,chloroplasts and peroxisomes,Mitochondria and chloroplasts,,,
Biology,What do global problems mean? Which are the global problems that organisms are facing today?,,,,,,,
Biology,Polyuronic acid and polysulphate esters are characteristic in cell wall of,Brown algae,Red algae,Diatoms,Dinoflagellates,,,
Biology,"What is the significance of pores present
on the nuclear membrane?",,,,,,,
Biology,"Given is a diagrammatic cross section
of a single loop of human cochlea.
Which one of the following options correctly represents the names of three
different parts?","D- Sensory A- Endolymph, BTectorial","A- Perilymph, B- Tectorial membrane, C- Endolymph","C- Endolymph, D- Sensory hair cells, A- Serum","B- Tectorial membrane, C- Perilymph, D Secretory cells",,,
Biology,Which of the following are excretory products in animals?,Urea,Uric acid,All of the above,Ammonia,,,
Biology,Tunica corpus theory was given by,Schmidt,Hanstein,Schuessler,Nageli,,,
Biology,A species is taxonomically,A group of evolutionary related populations,A population with common characteristics as evolutionary base of variation,A group of individuals capable of reproducing and producing fertile offsprings,A fundamental unit in the phylogenetic history of organisms,,,
Biology,Which of the following categories possesses the maximum number of related characters?,Order,Phylum,species,class,,,
Biology,"Very short answer type. How much blood is in each ventricle at
the end of ventricular diastole and what
is this volume called?",,,,,,,
Biology,"Identify the type of modified root and
select the correct statement regarding
¡t.",It is the tuberous root of Dahlia that stores inulin as reserve food.,It is modified taproot that occurs in Dahlia.,These roots are modified to provide mechanical support to the plant,"It is a modified adventitious that stores reserve food
material",,,
Biology,"In frog heart, there are cardiac muscles which consist of fibres called",Purkinje fibres,Myonemes,Columnae carneae,Telodendria,,,
Biology,A dinoflagellate with nematocysts is,Nematodinium,Ceratium,symbodinium,Gonyaulax,,,
